N,P,K,temperature,humidity,ph,rainfall,label
87,5,159,39.69316731190002,70.40042899033271,7.212328792053522,169.78423896778193,rice
81,106,71,26.413630068320266,70.6994680449593,7.233413356010034,130.4475970425825,rice
84,21,132,38.52905305368587,83.20132755737772,8.251423953582929,285.6777589025698,rice
86,34,30,30.57714508493503,89.57998358672997,6.007053254863782,160.02487082782451,rice
116,62,102,30.49428530485647,41.98916105061379,4.590351993234826,178.0724127678805,rice
38,87,83,29.275487171724997,68.76943100248877,8.734986624651395,165.3582975027954,rice
66,36,169,15.817242848803609,79.18270475075155,5.760011750895533,244.38295340120226,rice
109,35,15,25.991523880964763,50.40293500477439,5.370911645118341,262.1893134487296,rice
82,119,108,31.975602421889306,34.971640289884704,4.502105042787451,144.58619477232233,rice
135,55,31,25.981907276130197,17.109869671347347,6.225208917298808,96.98664309796104,rice
76,54,39,38.36169677208623,23.762145044406925,5.15732373880073,193.23904871088064,rice
54,126,46,26.882570337412783,73.39757173234322,7.976415970491742,106.5724409901314,rice
24,134,114,21.995489372255022,25.95471988014213,8.406476481423605,212.65964021905037,rice
70,93,75,20.939085913445624,92.81012228786926,5.681711150102537,197.22025399523693,rice
98,42,182,35.3428982364048,43.64681714706805,8.111767716011514,233.6082796111835,rice
127,137,83,23.386685287247563,42.612279591469914,9.430053722807875,64.93900739176048,rice
59,68,158,16.22183281517901,98.2873773192986,6.107321550608418,257.4679050738825,rice
121,106,35,31.347212379237128,37.23559224552726,7.1309910333017426,48.13521907137424,rice
47,20,152,30.274320631826487,85.56191264324367,9.348413532551309,285.0187167807654,rice
82,89,34,37.4898413694009,43.39190639463567,7.529027634585022,207.46754929866515,rice
54,11,187,27.81632712004154,97.95057794808936,6.835945259448754,40.24068224342778,rice
18,116,193,36.46093010759763,80.39888625981258,9.059721859647848,119.18987126897412,rice
108,95,66,26.30185218970891,98.90228364590712,9.897798959366849,205.0742180675993,rice
128,94,118,38.51750026311522,19.12229155558562,6.8634046476429855,47.713414344909964,rice
44,90,167,36.86326276710874,37.84611097865522,7.1456947984388295,245.30048507626913,rice
87,97,146,20.047335750812092,19.39463766700605,9.248049897067082,31.3421954060575,rice
16,113,164,36.21977227754505,51.046922781493784,7.710194390875281,287.45513256805907,rice
125,126,26,24.461443410701893,96.1810302840807,5.628629367656222,75.88574327604815,rice
94,56,202,32.45449615727897,92.87675968211985,6.18411147381132,168.1944704239023,rice
49,130,58,34.57773477861111,54.70846616487332,5.062215193644797,288.08129067066943,rice
82,54,196,19.752801678580774,97.48055045862905,9.067502697460368,196.07418756968906,rice
101,21,97,20.152726369166107,52.110514449140624,6.005583425638376,134.5370546337216,rice
91,50,165,28.11200349790308,83.20913491317226,6.47738059630396,65.9498400753872,rice
101,16,163,29.43549767734236,91.18249479786478,5.597358337893099,185.7332675373551,rice
53,77,161,24.331427309410962,32.8306261764005,8.749263887923766,27.460495094700626,rice
99,123,75,17.36999320960888,55.63123108608407,9.07328412206171,57.270321579354196,rice
134,53,99,33.91302109165222,70.58810471511103,9.81437202223836,90.78809663067713,rice
25,12,160,24.546124308858225,18.624853127630377,4.6415186455874125,266.92663259026494,rice
4,83,158,16.91742886862436,58.0394644338806,9.842830588284487,33.13050941913248,rice
38,12,102,20.034702435996532,80.91448119631572,5.157359372532873,34.73984786228428,rice
48,121,177,17.332671620810828,65.01660679673601,8.192840145384734,135.14967403704966,rice
78,9,34,31.321232239332726,97.26666644583983,9.254666938662249,210.7037280770068,rice
56,85,28,21.804668678200798,42.480963436593385,9.03258729168419,235.7099548169097,rice
13,88,118,39.13986913953613,92.61292580897967,5.589573297805548,287.25628221983743,rice
17,41,115,37.85289812126166,97.54601675399321,7.473765390429221,278.6338637233471,rice
40,98,77,22.454465839349666,95.2884875405907,6.6756736427223595,174.29505698396062,rice
94,84,31,31.657419664592744,64.70352538500384,6.475020039996494,123.62025031165729,rice
19,87,44,21.676874661967695,44.36769533982854,6.263655565172509,162.05871003234543,rice
14,14,20,26.54173784260867,75.72445332866485,7.313965892193507,283.167085564286,rice
22,14,162,36.73515866900746,66.55072334812537,6.979531758383888,116.79537446319193,rice
128,114,190,39.332158563123016,80.53541036361403,8.906485229643142,165.75534751019015,maize
53,47,36,24.510377863407523,32.65023095841358,8.71937885782679,284.3311183089909,maize
130,17,84,23.991419236505767,64.8570155880087,6.283301580356024,223.3900876050182,maize
128,67,169,36.27217461609733,38.887936218695785,5.034362295641861,288.2924634686486,maize
11,59,48,29.70109161734842,87.7641643335168,6.591600662672725,71.0116229654359,maize
32,100,157,24.845152360316042,18.58920070393332,9.317263446876494,129.1017161237349,maize
58,69,76,19.872260037410857,32.008456386437025,5.996576344843778,272.2577932214089,maize
74,111,33,36.897775362609536,35.408880898891475,8.97249626615945,218.62917398823,maize
61,74,74,28.645888014053952,67.809689707682,9.718944695216887,211.85396337175843,maize
130,17,197,20.008119254946326,46.27332850980597,5.384939171194426,151.96721428030017,maize
33,20,103,28.757025028977733,45.86969401115297,5.784775301554842,39.1661973235942,maize
98,139,116,20.32752542923337,85.25391639342303,9.00687305014266,277.8345647233978,maize
81,123,83,31.29458043571826,92.14501510361154,9.213056831876239,72.47554751082963,maize
69,6,105,36.083294393390275,38.05178443803534,4.706512066837306,103.04199119043008,maize
94,20,13,35.28660620433659,60.43042658457328,6.561566660232248,285.3542196688113,maize
44,50,32,37.16651286790974,78.82572825817427,7.889382689363482,61.578966903078616,maize
63,103,61,30.274161857653763,22.193140796431177,5.029998453682012,212.11929008837552,maize
98,72,14,29.722051831799636,69.79408074110248,9.645870816989493,229.70838409999874,maize
31,116,70,26.71714155274584,41.83979557442397,7.109849135978797,143.0907999617817,maize
24,116,50,37.03421242787778,86.48336633203434,6.698541557711608,88.19596983205048,maize
115,107,144,18.799787994381866,39.688873885195754,8.817111780907027,48.08880659683615,maize
116,40,63,25.027304821927956,97.24716529023583,9.097874554749554,123.16526481402241,maize
99,143,198,25.618451070408643,34.37917130175627,7.686961406380952,26.20663606173999,maize
120,138,200,16.37380174948076,82.5963552588739,6.503690757223274,154.31566222742856,maize
130,107,41,26.934585812954232,83.17314895941621,8.566183730720528,107.34388612246558,maize
77,32,88,32.70589552114251,29.019735540122298,8.037971081060372,256.98497007465295,maize
18,18,66,31.236786881943914,74.3737570923548,8.018161358786806,277.59675827829216,maize
69,24,49,22.025301542936365,43.74806111152992,5.483566923092977,100.08875550591333,maize
67,5,143,16.82703930969477,44.925947437649775,5.979885249049912,226.19091295152768,maize
18,96,104,26.108737388723643,46.02893528796506,5.9845091021813825,40.906321584828405,maize
60,28,127,34.198287972899536,40.554079869720375,5.431391466353882,194.2378894210268,maize
125,136,116,37.74957103862637,95.12023783566346,7.285563041709921,240.34144926469318,maize
114,88,151,24.0848190204789,91.01899908057567,6.971936498138364,113.34115699599381,maize
49,22,167,27.657028831278623,94.20086448078501,7.567754316066089,224.2796879714984,maize
20,136,141,28.424886861978408,98.46572092809839,8.41469501544872,27.798744792109204,maize
45,91,71,37.71057101931225,40.38741518472286,9.669519351744848,259.228381551815,maize
23,128,9,38.21880076964995,52.869631036233514,8.735218468561662,211.94397143962283,maize
29,56,161,16.549954926428455,81.65982096169756,8.923626190608822,231.65537654357468,maize
49,94,32,37.184867956942924,55.81457853651676,8.889146727150608,64.34455306303836,maize
9,137,118,17.776262014529596,23.442132298197404,9.091261193004364,208.57234374073533,maize
35,132,168,26.01427526575743,43.664522159443536,8.539785478678368,228.9839984349931,maize
126,144,178,15.585565292025194,58.955208806142046,8.074383632071859,75.43584271806982,maize
105,114,11,31.92238429920509,37.731436126861965,7.961002101389433,281.1193869681697,maize
139,119,164,25.54659316249591,33.304624391476636,5.0317184838462765,33.2990881917717,maize
81,75,87,33.28232192710193,73.48896497596661,5.887595232763383,44.86731269091144,maize
24,54,34,24.00657793639436,32.99828944125149,9.196145144043118,39.92008996483636,maize
12,95,10,28.058075878029417,51.48173534951764,5.990326385747328,199.25608874133272,maize
13,71,145,28.345531778490102,78.1729312782858,9.272378417244097,216.14424358716866,maize
79,144,190,19.106897525703623,46.85073870953225,5.405513247498656,233.7306708633354,maize
86,70,79,37.55963293381511,35.67349778910642,9.03159631908583,70.31291580103037,maize
92,36,164,38.763051541436276,94.96556166642824,9.81754082794343,222.47872776489652,chickpea
70,133,166,20.609926478330433,32.47456031307199,5.426533885211968,285.66225913535476,chickpea
21,31,195,28.32397713503968,16.04193410693782,8.391545493831034,208.11842593019136,chickpea
87,84,54,20.97809357988551,25.439367000805472,6.282351942685101,232.23200842467304,chickpea
67,14,115,25.515039503138134,65.5779266770315,8.532532525576189,80.2149774275312,chickpea
104,113,179,32.30000400381156,62.50689848901786,8.80880419054837,35.411409139211884,chickpea
6,63,23,38.612591808235905,61.648910028339145,9.28413353587934,245.0647964635346,chickpea
73,119,50,35.3511622177613,26.879175672229163,6.059156140501778,218.79905179165067,chickpea
100,14,51,31.824205889831102,95.58124326164231,6.567190416437405,39.44719317646002,chickpea
47,97,97,26.80618319222081,27.63606225399164,9.068903841397722,184.2617727122989,chickpea
68,100,17,32.913911442803105,26.945125062728987,4.834759392194952,221.76645429684152,chickpea
138,70,99,39.50958323588894,50.8728811804429,9.040352975777306,248.22032809286569,chickpea
115,136,79,32.46762753390616,50.58035034780838,8.17664955377562,24.50414960678667,chickpea
52,23,44,25.0855546983189,48.77857408610147,8.688776971966899,202.96617162290084,chickpea
16,13,56,22.318592371212993,95.27268545899979,7.895029063960304,260.9909132856665,chickpea
108,62,115,19.02582671344547,40.90679550444531,8.941191278711992,245.88361445981167,chickpea
33,134,109,39.414488103438245,82.90518809513055,6.4462733990050936,285.0283711281984,chickpea
125,84,143,24.112204583082953,60.864244500527164,5.481789969162884,205.91099352012984,chickpea
47,46,74,18.482368755461387,36.107836425374764,8.952600841579871,270.402800399785,chickpea
35,139,123,19.759467470000846,81.85456733049905,5.067748761714856,55.15176076833891,chickpea
116,50,49,25.51245892023246,89.59120262793925,7.488017291559048,193.70740222206467,chickpea
10,15,24,15.867320814041719,41.53336540621072,5.6541269140640535,266.8894198903856,chickpea
83,44,9,26.030618668880948,64.31225165507092,7.4178726646118305,209.86657544171453,chickpea
121,85,21,25.920214752023437,15.349272466273002,8.705774216506041,120.90082724945971,chickpea
124,112,58,39.665341980886794,24.39476176901882,9.437963214720064,275.6773095416744,chickpea
136,93,79,27.02606947695175,73.48177219030268,6.622706673833281,131.7250331532009,chickpea
86,85,39,36.762277141186416,65.44583618926696,4.911435420943229,177.6844808483969,chickpea
51,137,115,27.77911908598148,39.92464849043943,8.130451687750597,45.63189914684786,chickpea
27,62,81,26.247455110546607,98.99905510970085,5.218556625825431,220.49774108042945,chickpea
114,82,79,25.70798708704068,55.1657750138653,9.407076069510726,253.23932295071182,chickpea
59,37,35,17.50715844379802,53.74715687656868,9.723497922374285,226.81842680966665,chickpea
28,11,120,23.957833467580528,35.45298526804823,7.494185150033096,111.87931699485317,chickpea
58,31,107,34.46725108566559,47.47091263914445,5.050223499844604,99.38149635675128,chickpea
13,81,87,18.850937369808626,21.853702990559007,8.17990300538187,58.37784269411347,chickpea
18,44,49,26.1219757796562,85.63052403414795,8.64136110530143,84.12770371601829,chickpea
90,14,188,28.619959045475145,42.31405898086821,7.935227260825469,158.12087666618336,chickpea
106,92,181,33.3259833110734,44.58673008205156,9.872651404557631,136.69378684835004,chickpea
139,98,131,36.18805112942458,76.2953639366657,7.0033986560838075,161.087472768074,chickpea
59,15,158,24.8122591543062,42.648673383410184,8.585632138957521,78.10092302005667,chickpea
95,80,13,36.80242122128616,91.65646925819765,9.192635911752653,38.19655550370153,chickpea
19,101,194,20.90116409937568,42.13710577657841,7.957302586869523,90.17634243179532,chickpea
68,127,82,37.85054987780258,54.77074711019058,9.501677072650267,49.0161106451461,chickpea
47,41,70,18.06866292999942,31.967579528952694,7.4372660557501575,123.6219568937933,chickpea
118,131,52,28.17979370248352,80.45564595515125,5.036607945353884,69.15570871524362,chickpea
78,76,55,38.64445506407194,19.56521436528377,7.195198844923392,175.50411125847714,chickpea
5,100,133,36.2601962715713,23.482229419243204,4.656215235142531,244.40816857294533,chickpea
73,111,77,17.207407748094607,60.71026091264563,7.522975253556563,75.3134732793354,chickpea
91,95,29,29.813994625017507,69.20941276715051,6.572244574188448,66.5497175613378,chickpea
94,38,50,23.089237878188253,20.843402668425266,5.37589212117172,264.40680156015725,chickpea
31,71,49,37.56247219011878,28.249899646034972,6.842009382771161,93.45383818732691,chickpea
91,56,190,24.403848080289574,27.24226260676638,7.275405169288137,65.13064188240944,kidneybeans
60,14,5,31.170895949682702,62.15857993579983,4.618331611898354,32.62259331810429,kidneybeans
14,125,195,22.755183770338423,96.09359255110898,5.06930964097861,257.33161862496115,kidneybeans
33,41,24,28.803394320169303,34.81789207399619,8.350087379751361,88.84668832648144,kidneybeans
23,80,111,20.551532508543318,14.695710549239058,6.785085103492068,221.4992591533665,kidneybeans
56,56,114,26.05818413124383,78.5296396643403,9.579336311174186,177.83616206414928,kidneybeans
103,81,41,21.228764273763904,63.20715583283907,7.767651526507516,279.76552528026133,kidneybeans
104,134,40,15.06242509759152,23.53571442866093,6.748991786428228,232.01993499168577,kidneybeans
101,75,161,29.756241850917277,36.3876678023705,5.1810024661225675,278.6643359661283,kidneybeans
56,20,202,25.34603964069983,92.95256433851125,8.433802649631874,272.0769605164773,kidneybeans
47,119,186,28.90543151258675,69.64996670364013,5.3572310713833335,184.60839844104927,kidneybeans
84,99,147,15.204780023748924,43.483887474335596,5.512588468253478,259.4429737395802,kidneybeans
71,33,134,18.850228996088347,83.81608956478962,9.29136644038997,190.13527193144077,kidneybeans
27,23,79,19.010149111927618,14.280029988551044,5.353593147757945,158.0930573553083,kidneybeans
6,111,6,36.74303706545379,24.671078376489984,9.131215465171499,211.94718157782745,kidneybeans
47,84,142,19.471739437541007,73.04298590484375,9.299628343365267,177.43300241301492,kidneybeans
60,134,191,18.721037712470544,58.90490469407905,5.680481929741427,149.77177620379086,kidneybeans
44,66,93,21.22277206926336,62.75174979477717,9.594232110222185,237.97741730818993,kidneybeans
38,105,145,16.70401223929874,54.14202146708714,6.964692377436103,147.00297644950047,kidneybeans
58,74,16,18.40460545795476,57.08799658307182,9.420205154029949,42.37621075469736,kidneybeans
11,99,10,27.99943102390507,54.209997201264095,8.059954252457588,157.07697137872495,kidneybeans
77,12,202,21.19098469068189,81.02855058551938,5.887958700361163,177.02585510516045,kidneybeans
73,23,115,21.858352863941423,23.21702829891918,8.275925524045261,31.589129484938702,kidneybeans
42,25,116,23.484099896247205,26.798824114275693,9.380001437883232,164.55648453478085,kidneybeans
5,112,176,22.886119340616567,64.38002686019703,4.843793543908427,160.08967410973,kidneybeans
132,129,149,38.32050269791863,92.03287357142513,6.282752518173048,104.82552101372576,kidneybeans
6,43,141,20.117438709507923,49.12649312595352,7.794862950251155,209.90888330218678,kidneybeans
2,142,12,15.364743314035781,55.576719324216334,7.7714845683356994,275.10506084607266,kidneybeans
134,43,70,15.448305168134619,94.6290151162014,7.5622217762148,265.02405352681416,kidneybeans
